"initial_alias","converted_alias","name","description","namespace"
"DPF2","ENSG00000133884","DPF2","double PHD fingers 2 [Source:HGNC Symbol;Acc:HGNC:9964]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRD4","ENSG00000141867","BRD4","bromodomain containing 4 [Source:HGNC Symbol;Acc:HGNC:13575]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYL6B","ENSG00000196465","MYL6B","myosin light chain 6B [Source:HGNC Symbol;Acc:HGNC:29823]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VWA8","ENSG00000102763","VWA8","von Willebrand factor A domain containing 8 [Source:HGNC Symbol;Acc:HGNC:29071]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STOX1","ENSG00000165730","STOX1","storkhead box 1 [Source:HGNC Symbol;Acc:HGNC:23508]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EHMT2","ENSG00000204371","EHMT2","euchromatic histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14129]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFNA4","ENSG00000243364","EFNA4","ephrin A4 [Source:HGNC Symbol;Acc:HGNC:3224]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPAN5","ENSG00000168785","TSPAN5","tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STK4","ENSG00000101109","STK4","serine/threonine kinase 4 [Source:HGNC Symbol;Acc:HGNC:11408]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF296","ENSG00000170684","ZNF296","zinc finger protein 296 [Source:HGNC Symbol;Acc:HGNC:15981]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CUL1","ENSG00000055130","CUL1","cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRPC4AP","ENSG00000100991","TRPC4AP","transient receptor potential cation channel subfamily C member 4 associated protein [Source:HGNC Symbol;Acc:HGNC:16181]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COPRS","ENSG00000172301","COPRS","coordinator of PRMT5 and differentiation stimulator [Source:HGNC Symbol;Acc:HGNC:28848]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPLP1","ENSG00000137818","RPLP1","ribosomal protein lateral stalk subunit P1 [Source:HGNC Symbol;Acc:HGNC:10372]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PROCR","ENSG00000101000","PROCR","protein C receptor [Source:HGNC Symbol;Acc:HGNC:9452]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COPS6","ENSG00000168090","COPS6","COP9 signalosome subunit 6 [Source:HGNC Symbol;Acc:HGNC:21749]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPIN3","ENSG00000204271","SPIN3","spindlin family member 3 [Source:HGNC Symbol;Acc:HGNC:27272]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PMEPA1","ENSG00000124225","PMEPA1","prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATG16L1","ENSG00000085978","ATG16L1","autophagy related 16 like 1 [Source:HGNC Symbol;Acc:HGNC:21498]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDAN1","ENSG00000140326","CDAN1","codanin 1 [Source:HGNC Symbol;Acc:HGNC:1713]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DRAM1","ENSG00000136048","DRAM1","DNA damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:HGNC:25645]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SF3B2","ENSG00000087365","SF3B2","splicing factor 3b subunit 2 [Source:HGNC Symbol;Acc:HGNC:10769]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TPRA1","ENSG00000163870","TPRA1","transmembrane protein adipocyte associated 1 [Source:HGNC Symbol;Acc:HGNC:30413]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM183A","ENSG00000163444","TMEM183A","transmembrane protein 183A [Source:HGNC Symbol;Acc:HGNC:20173]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OAS3","ENSG00000111331","OAS3","2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRXL2B","ENSG00000157870","PRXL2B","peroxiredoxin like 2B [Source:HGNC Symbol;Acc:HGNC:28390]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPL34","ENSG00000109475","RPL34","ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:10340]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HPS4","ENSG00000100099","HPS4","HPS4 biogenesis of lysosomal organelles complex 3 subunit 2 [Source:HGNC Symbol;Acc:HGNC:15844]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNAH2","ENSG00000183914","DNAH2","dynein axonemal heavy chain 2 [Source:HGNC Symbol;Acc:HGNC:2948]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POLR3H","ENSG00000100413","POLR3H","RNA polymerase III subunit H [Source:HGNC Symbol;Acc:HGNC:30349]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC30A5","ENSG00000145740","SLC30A5","solute carrier family 30 member 5 [Source:HGNC Symbol;Acc:HGNC:19089]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"P4HB","ENSG00000185624","P4HB","prolyl 4-hydroxylase subunit beta [Source:HGNC Symbol;Acc:HGNC:8548]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FBP1","ENSG00000165140","FBP1","fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HEATR3","ENSG00000155393","HEATR3","HEAT repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:26087]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATPSCKMT","ENSG00000150756","ATPSCKMT","ATP synthase c subunit lysine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:27029]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATL2","ENSG00000119787","ATL2","atlastin GTPase 2 [Source:HGNC Symbol;Acc:HGNC:24047]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POMGNT2","ENSG00000144647","POMGNT2","protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-) [Source:HGNC Symbol;Acc:HGNC:25902]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NCOA6","ENSG00000198646","NCOA6","nuclear receptor coactivator 6 [Source:HGNC Symbol;Acc:HGNC:15936]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDR2","ENSG00000140743","CDR2","cerebellar degeneration related protein 2 [Source:HGNC Symbol;Acc:HGNC:1799]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYP2S1","ENSG00000167600","CYP2S1","cytochrome P450 family 2 subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:15654]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSD17B4","ENSG00000133835","HSD17B4","hydroxysteroid 17-beta dehydrogenase 4 [Source:HGNC Symbol;Acc:HGNC:5213]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PCNP","ENSG00000081154","PCNP","PEST proteolytic signal containing nuclear protein [Source:HGNC Symbol;Acc:HGNC:30023]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MPHOSPH9","ENSG00000051825","MPHOSPH9","M-phase phosphoprotein 9 [Source:HGNC Symbol;Acc:HGNC:7215]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POLR2C","ENSG00000102978","POLR2C","RNA polymerase II subunit C [Source:HGNC Symbol;Acc:HGNC:9189]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC5A1","ENSG00000100170","SLC5A1","solute carrier family 5 member 1 [Source:HGNC Symbol;Acc:HGNC:11036]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BTF3","ENSG00000145741","BTF3","basic transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:1125]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EDEM2","ENSG00000088298","EDEM2","ER degradation enhancing alpha-mannosidase like protein 2 [Source:HGNC Symbol;Acc:HGNC:15877]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PKM","ENSG00000067225","PKM","pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NUP50","ENSG00000093000","NUP50","nucleoporin 50 [Source:HGNC Symbol;Acc:HGNC:8065]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APIP","ENSG00000149089","APIP","APAF1 interacting protein [Source:HGNC Symbol;Acc:HGNC:17581]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FADD","ENSG00000168040","FADD","Fas associated via death domain [Source:HGNC Symbol;Acc:HGNC:3573]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADPGK","ENSG00000159322","ADPGK","ADP dependent glucokinase [Source:HGNC Symbol;Acc:HGNC:25250]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MFAP2","ENSG00000117122","MFAP2","microfibril associated protein 2 [Source:HGNC Symbol;Acc:HGNC:7033]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCZ1","ENSG00000122674","CCZ1","CCZ1 homolog, vacuolar protein trafficking and biogenesis associated [Source:HGNC Symbol;Acc:HGNC:21691]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCZ1","ENSG00000146574","CCZ1B","CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated [Source:HGNC Symbol;Acc:HGNC:21717]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCZ1B","ENSG00000146574","CCZ1B","CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated [Source:HGNC Symbol;Acc:HGNC:21717]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ERGIC2","ENSG00000087502","ERGIC2","ERGIC and golgi 2 [Source:HGNC Symbol;Acc:HGNC:30208]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP5MF","ENSG00000241468","ATP5MF","ATP synthase membrane subunit f [Source:HGNC Symbol;Acc:HGNC:848]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KCTD3","ENSG00000136636","KCTD3","potassium channel tetramerization domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21305]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZDHHC6","ENSG00000023041","ZDHHC6","zinc finger DHHC-type palmitoyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:19160]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPA2","ENSG00000138777","PPA2","inorganic pyrophosphatase 2 [Source:HGNC Symbol;Acc:HGNC:28883]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF473","ENSG00000142528","ZNF473","zinc finger protein 473 [Source:HGNC Symbol;Acc:HGNC:23239]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB11FIP5","ENSG00000135631","RAB11FIP5","RAB11 family interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:24845]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RRP8","ENSG00000132275","RRP8","ribosomal RNA processing 8 [Source:HGNC Symbol;Acc:HGNC:29030]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SRFBP1","ENSG00000151304","SRFBP1","serum response factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26333]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FSCN1","ENSG00000075618","FSCN1","fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAF5L","ENSG00000135801","TAF5L","TATA-box binding protein associated factor 5 like [Source:HGNC Symbol;Acc:HGNC:17304]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CEL","ENSG00000170835","CEL","carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PARL","ENSG00000175193","PARL","presenilin associated rhomboid like [Source:HGNC Symbol;Acc:HGNC:18253]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GOLGA7","ENSG00000147533","GOLGA7","golgin A7 [Source:HGNC Symbol;Acc:HGNC:24876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CNIH1","ENSG00000100528","CNIH1","cornichon family member 1 [Source:HGNC Symbol;Acc:HGNC:19431]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DCUN1D3","ENSG00000188215","DCUN1D3","defective in cullin neddylation 1 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28734]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FADS1","ENSG00000149485","FADS1","fatty acid desaturase 1 [Source:HGNC Symbol;Acc:HGNC:3574]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VDAC1","ENSG00000213585","VDAC1","voltage dependent anion channel 1 [Source:HGNC Symbol;Acc:HGNC:12669]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AP3D1","ENSG00000065000","AP3D1","adaptor related protein complex 3 subunit delta 1 [Source:HGNC Symbol;Acc:HGNC:568]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PHF20L1","ENSG00000129292","PHF20L1","PHD finger protein 20 like 1 [Source:HGNC Symbol;Acc:HGNC:24280]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PITPNC1","ENSG00000154217","PITPNC1","phosphatidylinositol transfer protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:21045]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC37A4","ENSG00000137700","SLC37A4","solute carrier family 37 member 4 [Source:HGNC Symbol;Acc:HGNC:4061]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PIGY","ENSG00000255072","PIGY","phosphatidylinositol glycan anchor biosynthesis class Y [Source:HGNC Symbol;Acc:HGNC:28213]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PYURF","ENSG00000145337","PYURF","PIGY upstream open reading frame [Source:HGNC Symbol;Acc:HGNC:44317]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTGES2","ENSG00000148334","PTGES2","prostaglandin E synthase 2 [Source:HGNC Symbol;Acc:HGNC:17822]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RHBDD1","ENSG00000144468","RHBDD1","rhomboid domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23081]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF664","ENSG00000179195","ZNF664","zinc finger protein 664 [Source:HGNC Symbol;Acc:HGNC:25406]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYRIB","ENSG00000153310","CYRIB","CYFIP related Rac1 interactor B [Source:HGNC Symbol;Acc:HGNC:25216]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HTRA2","ENSG00000115317","HTRA2","HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM39A","ENSG00000176142","TMEM39A","transmembrane protein 39A [Source:HGNC Symbol;Acc:HGNC:25600]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EEF2","ENSG00000167658","EEF2","eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FBXO44","ENSG00000132879","FBXO44","F-box protein 44 [Source:HGNC Symbol;Acc:HGNC:24847]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARF4","ENSG00000168374","ARF4","ADP ribosylation factor 4 [Source:HGNC Symbol;Acc:HGNC:655]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM53A","ENSG00000174137","FAM53A","family with sequence similarity 53 member A [Source:HGNC Symbol;Acc:HGNC:31860]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"S100A3","ENSG00000188015","S100A3","S100 calcium binding protein A3 [Source:HGNC Symbol;Acc:HGNC:10493]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PFDN4","ENSG00000101132","PFDN4","prefoldin subunit 4 [Source:HGNC Symbol;Acc:HGNC:8868]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBA3","ENSG00000144744","UBA3","ubiquitin like modifier activating enzyme 3 [Source:HGNC Symbol;Acc:HGNC:12470]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MOCOS","ENSG00000075643","MOCOS","molybdenum cofactor sulfurase [Source:HGNC Symbol;Acc:HGNC:18234]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTA2","ENSG00000149480","MTA2","metastasis associated 1 family member 2 [Source:HGNC Symbol;Acc:HGNC:7411]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KCTD6","ENSG00000168301","KCTD6","potassium channel tetramerization domain containing 6 [Source:HGNC Symbol;Acc:HGNC:22235]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLCB4","ENSG00000101333","PLCB4","phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"INTS10","ENSG00000104613","INTS10","integrator complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:25548]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MKLN1","ENSG00000128585","MKLN1","muskelin 1 [Source:HGNC Symbol;Acc:HGNC:7109]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SKP2","ENSG00000145604","SKP2","S-phase kinase associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10901]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DUSP2","ENSG00000158050","DUSP2","dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SAMD5","ENSG00000203727","SAMD5","sterile alpha motif domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21180]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HDDC2","ENSG00000111906","HDDC2","HD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21078]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CSPP1","ENSG00000104218","CSPP1","centrosome and spindle pole associated protein 1 [Source:HGNC Symbol;Acc:HGNC:26193]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NHLRC3","ENSG00000188811","NHLRC3","NHL repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:33751]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MKRN2","ENSG00000075975","MKRN2","makorin ring finger protein 2 [Source:HGNC Symbol;Acc:HGNC:7113]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COL10A1","ENSG00000123500","COL10A1","collagen type X alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2185]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPP2R3B","ENSG00000167393","PPP2R3B","protein phosphatase 2 regulatory subunit B''beta [Source:HGNC Symbol;Acc:HGNC:13417]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPP2R3B","ENSG00000292327","PPP2R3B","protein phosphatase 2 regulatory subunit B''beta [Source:HGNC Symbol;Acc:HGNC:13417]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NAXD","ENSG00000213995","NAXD","NAD(P)HX dehydratase [Source:HGNC Symbol;Acc:HGNC:25576]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC35E3","ENSG00000175782","SLC35E3","solute carrier family 35 member E3 [Source:HGNC Symbol;Acc:HGNC:20864]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NSMAF","ENSG00000035681","NSMAF","neutral sphingomyelinase activation associated factor [Source:HGNC Symbol;Acc:HGNC:8017]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PABPC4","ENSG00000090621","PABPC4","poly(A) binding protein cytoplasmic 4 [Source:HGNC Symbol;Acc:HGNC:8557]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TUBE1","ENSG00000074935","TUBE1","tubulin epsilon 1 [Source:HGNC Symbol;Acc:HGNC:20775]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPCS1","ENSG00000114902","SPCS1","signal peptidase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23401]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CBFA2T2","ENSG00000078699","CBFA2T2","CBFA2/RUNX1 partner transcriptional co-repressor 2 [Source:HGNC Symbol;Acc:HGNC:1536]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COASY","ENSG00000068120","COASY","Coenzyme A synthase [Source:HGNC Symbol;Acc:HGNC:29932]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTHFSD","ENSG00000103248","MTHFSD","methenyltetrahydrofolate synthetase domain containing [Source:HGNC Symbol;Acc:HGNC:25778]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MSMO1","ENSG00000052802","MSMO1","methylsterol monooxygenase 1 [Source:HGNC Symbol;Acc:HGNC:10545]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TIGAR","ENSG00000078237","TIGAR","TP53 induced glycolysis regulatory phosphatase [Source:HGNC Symbol;Acc:HGNC:1185]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTLN","ENSG00000175701","MTLN","mitoregulin [Source:HGNC Symbol;Acc:HGNC:27339]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM161A","ENSG00000064545","TMEM161A","transmembrane protein 161A [Source:HGNC Symbol;Acc:HGNC:26020]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TPST2","ENSG00000128294","TPST2","tyrosylprotein sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:12021]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KLHDC4","ENSG00000104731","KLHDC4","kelch domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25272]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRFAP1","ENSG00000179010","MRFAP1","Morf4 family associated protein 1 [Source:HGNC Symbol;Acc:HGNC:24549]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ETF1","ENSG00000120705","ETF1","eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC71A3P","None","None","None",""
"SLC71A2","None","None","None",""
"MRFAP1L2","ENSG00000170846","MRFAP1L2","Morf4 family associated protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:25109]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STARD7","ENSG00000084090","STARD7","StAR related lipid transfer domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18063]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FDX2","ENSG00000267673","FDX2","ferredoxin 2 [Source:HGNC Symbol;Acc:HGNC:30546]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF384","ENSG00000126746","ZNF384","zinc finger protein 384 [Source:HGNC Symbol;Acc:HGNC:11955]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAMTS4","ENSG00000158859","ADAMTS4","ADAM metallopeptidase with thrombospondin type 1 motif 4 [Source:HGNC Symbol;Acc:HGNC:220]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GTF2IRD2","ENSG00000196275","GTF2IRD2","GTF2I repeat domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30775]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GTF2IRD2B","ENSG00000174428","GTF2IRD2B","GTF2I repeat domain containing 2B [Source:HGNC Symbol;Acc:HGNC:33125]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CEP57","ENSG00000166037","CEP57","centrosomal protein 57 [Source:HGNC Symbol;Acc:HGNC:30794]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GSK3B","ENSG00000082701","GSK3B","glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
